Chapter,ID,People/Event
1,people_0a51bbe3a106e8677a3fe928d66da5f4,aaron_1
1,people_b4453b717e475ced274b75b973647897,abijah_36
1,people_f37710aa0d0f87130c8fecfd990e9164,abraham_58
1,people_bd51343ae1296e5fcfbc1ff629830b3a,david_994
1,people_670098ef71f00335389b123e7829f7d5,elijah_1131
1,people_d36b57458c47342095d3aabd80eba16e,elisabeth_1152
1,people_edae84afda70115d739583b276966dfc,gabriel_1261
1,people_12f80b516bb106941288062f032b4401,god_1324
1,people_63620cdc6db0292f5c56a472a04048bc,herod_1504
1,people_8f367c1b11a63a2c205a984f71382a98,holy_spirit_7400
1,people_db78b6b7bb3cbb577eb291deb4937965,israel_682
1,people_74fc34c0591dc0c0a09fa2413e4e4e51,jesus_905
1,people_a3c19bfcb377f94f19ab0eca9e103d02,john_1676
1,people_7d80d364071b3f9dcb768ced77741c16,joseph_1715
1,people_180e55a375351699d60182aeb74308f9,mary_1938 
1,people_d90a0d4df004d866796c817cb0075af9,theophilus_2849
1,people_2951de7009ef056456c1b76376ebf416,zacharias_2971
1,timeline_b29c12bf9c594af9cd5cbb7a56128eb1,birth of john the baptist
1,timeline_60bae5cc7153b5263c3dfb30a29d1ff8,"espousal of mary, the annuciation"
1,timeline_279ec737c4929bc63986480b82999835,john's birth predicted
1,timeline_7611459298a685bef74b07a8ea3742d6,mary visits elizabeth
1,timeline_7e580cc98984005b503cfbe4e0e88988,the annuciation
2,people_0a9b5a12f6f0e31b4cbad55d40531794,cyrenius_967
2,people_12f80b516bb106941288062f032b4401,god_1324
2,people_180e55a375351699d60182aeb74308f9,mary_1938
2,people_54391b8dee1376fe9bffd83cebd93a08,moses_2108
2,people_57476f87614ab5ef3f8df4f351234eb6,asher_337
2,people_74fc34c0591dc0c0a09fa2413e4e4e51,jesus_905
2,people_7d80d364071b3f9dcb768ced77741c16,joseph_1715
2,people_8f367c1b11a63a2c205a984f71382a98,holy_spirit_7400
2,people_a56187ef35890c3e43142e882d51da29,simeon_2742
2,people_a66800a74903374f648b4bdbcb3b09e8,augustus_366
