Chapter,ID,People/Event
1,people_d914e3ecf6cc481114a3f534a5faf90b,andrew
1,people_a4757d7419ff3b48e92e90596f0e7548,god
1,people_a05d08dd5b543d67b497d3adf3564d87,holy spirit
1,people_b4cc344d25a2efe540adbf2678e2304c,james
1,people_110d46fcd978c24f306cd7fa23464d73,jesus
1,people_527bd5b5d689e2c32ae974c6229ff785,john
1,people_52bd43d37ed62eb4c226e31841bc03dc,moses
1,people_c31f76c7f477fd879a39cd6c46d175b0,mother of the wife of simon
1,people_51dc30ddc473d43a6011e9ebba6ca770,peter
1,people_87df2cd1570fd297de238aeee667fe0a,satan
1,people_b30bd351371c686298d32281b337e8e9,simon
1,people_e6da0d255c7cde0d55c5423453c06241,wife of simon
1,people_11af01d092444a317cb33faa6b8304b8,zebedee
1,event_37dcb7300f24b81bb96deade2bd55ee1,fishers of men
1,event_6225c363f7a5c1f6312cc5bdf9377766,healing the leper
1,event_fa064bb00915c7f5ea2305c237968411,healing the man with palsy
1,event_790f5a904a89d96c69f9fdb896a2a21f,"jesus leaves judea toward galilee, jesus visits galilee"
1,event_11112321e66f8547d0238993596566f4,jesus visits galilee
1,event_2f95b79a44a32863c553e197d0ff6124,jesus' 1st tour of galilee
1,event_8be73a7575c9733cfce195dbed9b9d61,john baptizes jesus
1,event_fe07358fe6347d49865da346e5eefe02,john the baptist begins ministry
1,event_0f77167740ba5d66760f65c237174878,peter's mother-in-law and others healed
1,event_4e12fdf35e5c9827cd2ce1982de1030a,temptations of jesus
1,event_6542fa916245dd3506364da65b4d55ed,the demoniac
2,people_1f651b8301bbf09b0e2527e929fde258,abiathar
2,people_42bf05d1d4257474cef0af0caa3ccc6d,alphaeus
2,people_172522ec1028ab781d9dfd17eaca4427,david
2,people_a4757d7419ff3b48e92e90596f0e7548,god
2,people_110d46fcd978c24f306cd7fa23464d73,jesus
2,people_527bd5b5d689e2c32ae974c6229ff785,john
2,people_e6a5ba0842a531163425d66839569a68,matthew
2,event_a7d9a01f97c8b9753c835983abf4fd76,corn on the sabbath
2,event_77cf2299b8b0feb4b093c29d1c5d029a,fasting question
2,event_fa064bb00915c7f5ea2305c237968411,healing the man with palsy
2,event_acb4d47e8f28632c76f5369373f5f69d,jesus calls matthew
2,event_ae4f4dbb5930d402cd354f4eed4b2a64,parable of the winseskins
3,people_42bf05d1d4257474cef0af0caa3ccc6d,alphaeus
3,people_d914e3ecf6cc481114a3f534a5faf90b,andrew
3,people_c41f81b866f7f14986347551fd61260f,bartholomew
3,people_a4757d7419ff3b48e92e90596f0e7548,god
3,people_a05d08dd5b543d67b497d3adf3564d87,holy spirit
3,people_b4cc344d25a2efe540adbf2678e2304c,james
3,people_110d46fcd978c24f306cd7fa23464d73,jesus
3,people_527bd5b5d689e2c32ae974c6229ff785,john
3,people_9cb8af3f5c58553c270412eb3d751fc3,judas
3,people_fdc1eaa5c8acb4907e6d4c0014bb275e,lebbaeus
3,people_b8e7be5dfa2ce0714d21dcfc7d72382c,mary
3,people_e6a5ba0842a531163425d66839569a68,matthew
3,people_51dc30ddc473d43a6011e9ebba6ca770,peter
3,people_7b40760b8ebbfb7da8ebe42af07de0e5,philip
3,people_87df2cd1570fd297de238aeee667fe0a,satan
3,people_b30bd351371c686298d32281b337e8e9,simon
3,people_ef6e65efc188e7dffd7335b646a85a21,thomas
3,people_11af01d092444a317cb33faa6b8304b8,zebedee
3,event_bb5e9a3019dff55a5a75db207e371fd8,apostles chosen
3,event_fe57cd76745c5780ca62f2e8c846b4c2,blind and dumb demoniac and following discourse
