personID,displayTitle,name,surname,memberOf
aaron_1,Aaron,Aaron,,Tribe of Levi
abel_13,Abel,Abel,,
abijah_36,Abijah,Abijah,,
abraham_58,Abraham,Abraham,,Genealogy of Jesus
adam_78,Adam,Adam,,Genealogy of Jesus
addi_81,Addi,Addi,,"Tribe of Judah, Genealogy of Jesus"
alphaeus_192,Alphaeus,Alphaeus,,
amminadab_228,Amminadab,Amminadab,,"Tribe of Judah, Genealogy of Jesus"
amos_239,Amos,Amos,,"Tribe of Judah, Genealogy of Jesus"
andrew_264,Andrew,Andrew,,"Apostles, Apostles (Post-Ascension), Apostles (The Eleven)"
anna_268,Anna,Anna,,
annas_269,Annas,Annas,,
arphaxad_312,Arphaxad,Arphaxad,,Genealogy of Jesus
asher_337,Asher,Asher,,Tribe of Asher
augustus_366,Augustus,Augustus,,
barabbas_399,Barabbas,Barabbas,,
bartholomew_405,Bartholomew,Bartholomew,,"Apostles, Apostles (Post-Ascension), Apostles (The Eleven)"
boaz_519,Boaz,Boaz,,"Tribe of Judah, Genealogy of Jesus"
caiaphas_532,Caiaphas,Caiaphas,,
cainan_534,Cainan (antediluvian patriarch),Cainan,,Genealogy of Jesus
cainan_535,Cainan (son of Arphaxad),Cainan,,Genealogy of Jesus
chuza_945,Chuza,Chuza,,
cleophas_950,Cleophas,Cleophas,,
cosam_957,Cosam,Cosam,,"Tribe of Judah, Genealogy of Jesus"
cyrenius_967,Cyrenius,Cyrenius,,
david_994,David,David,,"Tribe of Judah, Genealogy of Jesus"
eber_1030,Eber (Heber),Eber,,Genealogy of Jesus
eliakim_1088,Eliakim,Eliakim,,"Tribe of Judah, Genealogy of Jesus"
eliezer_1123,Eliezer,Eliezer,,"Tribe of Judah, Genealogy of Jesus"
elijah_1131,Elijah,Elijah,,
elisabeth_1152,Elisabeth,Elisabeth,,
elisha_1153,Elisha,Elisha,,
elmodam_1175,Elmodam,Elmodam,,"Tribe of Judah, Genealogy of Jesus"
enoch_1192,Enoch (father of Methuselah),Enoch,,Genealogy of Jesus
enos_1193,Enos,Enos,,Genealogy of Jesus
er_1211,Er,Er,,"Tribe of Judah, Genealogy of Jesus"
esli_1221,Esli,Esli,,"Tribe of Judah, Genealogy of Jesus"
gabriel_1261,Gabriel,Gabriel,,
god_1324,God,God,,Genealogy of Jesus
heber_1469,Heber,Heber,,Tribe of Asher
heli_1484,Heli,Heli,,"Tribe of Judah, Genealogy of Jesus"
herod_1504,Herod,Herod,,
herod_1505,Herod Antipas,Herod Antipas,,
herodias_1507,Herodias,Herodias,,
hezron_1520,Hezron,Hezron,,"Tribe of Judah, Genealogy of Jesus"
holy_spirit_7400,Holy Spirit,Holy Spirit,,
isaac_616,Isaac,Isaac,,Genealogy of Jesus
isaiah_617,Isaiah,Isaiah,,
israel_682,Jacob (Israel),Israel,,Genealogy of Jesus
jairus_711,Jairus,Jairus,,
james_719,James (Brother of Jesus),James,,"Tribe of Judah, Apostles, Apostles (Post-Ascension), Apostles (The Eleven)"
james_718,James (Son of Alphaeus),James,,"Apostles, Apostles (Post-Ascension), Apostles (The Eleven)"
james_717,James (Son of Zebedee),James,,
janna_724,Janna,Janna,,"Tribe of Judah, Genealogy of Jesus"
jared_730,Jared,Jared,,Genealogy of Jesus
jesse_903,Jesse,Jesse,,"Tribe of Judah, Genealogy of Jesus"
jesus_905,Jesus Christ,Jesus,Christ,"Tribe of Judah, Genealogy of Jesus"
joanna_1629,Joanna,Joanna,,
joanna_1628,Joanna,Joanna,,"Tribe of Judah, Genealogy of Jesus"
john_1677,John the Apostle,John,,"Apostles, Apostles (Post-Ascension), Apostles (The Eleven)"
john_1676,John the Baptist,John,,
jonah_1689,Jonah,Jonah,,
jonan_1690,Jonan,Jonan,,"Tribe of Judah, Genealogy of Jesus"
jorim_1707,Jorim,Jorim,,"Tribe of Judah, Genealogy of Jesus"
jose_1709,Jose,Jose,,"Tribe of Judah, Genealogy of Jesus"
joseph_1717,Joseph,Joseph,,"Tribe of Judah, Genealogy of Jesus"
joseph_1719,Joseph,Joseph,,"Tribe of Judah, Genealogy of Jesus"
joseph_1715,Joseph (Mary's Husband),Joseph,,"Tribe of Judah, Genealogy of Jesus"
joseph_1716,Joseph (of Arimathea),Joseph,,
joseph_1710,Joseph (son of Jacob),Joseph,,Tribe of Joseph
joseph_1718,Joseph (son of Judah),Joseph,,"Tribe of Judah, Genealogy of Jesus"
josiah_1731,Josiah,Josiah,,
juda_1749,Juda,Juda,,"Tribe of Judah, Genealogy of Jesus"
juda_1750,Juda,Juda,,"Tribe of Judah, Genealogy of Jesus"
judas_1760,Judas Iscariot,Judas,Iscariot,Apostles
lamech_1809,Lamech (father of Noah),Lamech,,Genealogy of Jesus
lazarus_1811,Lazarus,Lazarus,,
lebbaeus_1815,Lebbaeus Thaddaeus,Lebbaeus,Thaddaeus,"Apostles, Apostles (Post-Ascension), Apostles (The Eleven)"
levi_1821,Levi,Levi,,"Tribe of Judah, Genealogy of Jesus"
levi_1822,Levi,Levi,,"Tribe of Judah, Genealogy of Jesus"
lot_1830,Lot,Lot,,
lysanias_1838,Lysanias,Lysanias,,
maath_1871,Maath,Maath,,"Tribe of Judah, Genealogy of Jesus"
mahalaleel_1885,Mahalaleel (line of Seth),Mahalaleel,,Genealogy of Jesus
martha_1937,Martha,Martha,,
mary_1943,Mary,Mary,Magdalene,
mary_1940,Mary,Mary,,
mary_1939,Mary,Mary,,
mary_1938,Mary (Mother of Jesus),Mary,,"Tribe of Judah, Genealogy of Jesus"
mattatha_1961,Mattatha,Mattatha,,"Tribe of Judah, Genealogy of Jesus"
mattathias_1964,Mattathias,Mattathias,,"Tribe of Judah, Genealogy of Jesus"
mattathias_1963,Mattathias,Mattathias,,"Tribe of Judah, Genealogy of Jesus"
matthat_1969,Matthat,Matthat,,"Tribe of Judah, Genealogy of Jesus"
matthat_1970,Matthat,Matthat,,"Tribe of Judah, Genealogy of Jesus"
matthew_1971,Matthew,Matthew,,"Apostles, Apostles (Post-Ascension), Apostles (The Eleven)"
melchi_1987,Melchi,Melchi,,"Tribe of Judah, Genealogy of Jesus"
melchi_1988,Melchi,Melchi,,"Tribe of Judah, Genealogy of Jesus"
melea_1992,Melea,Melea,,"Tribe of Judah, Genealogy of Jesus"
