event,lista persone nell'evento,quante volte compaiono,Capitolo
John's birth predicted,herod_1504,1,1
John's birth predicted,zacharias_2971,5,1
John's birth predicted,abijah_36,1,1
John's birth predicted,aaron_1,1,1
John's birth predicted,elisabeth_1152,4,1
John's birth predicted,god_1324,7,1
John's birth predicted,jesus_905,2,1
John's birth predicted,john_1676,1,1
John's birth predicted,holy_spirit_7400,1,1
John's birth predicted,israel_682,1,1
John's birth predicted,elijah_1131,1,1
John's birth predicted,gabriel_1261,1,1
The Annuciation,gabriel_1261,1,1
The Annuciation,god_1324,1,1
The Annuciation,joseph_1715,1,1
The Annuciation,david_994,1,1
The Annuciation,mary_1938,1,1
The Annuciation,jesus_905,1,1
The Annuciation,israel_682,1,1
The Annuciation,holy_spirit_7400,1,1
The Annuciation,elisabeth_1152,1,1
Mary Visits Elizabeth,mary_1938,4,1
Mary Visits Elizabeth,zacharias_2971,1,1
Mary Visits Elizabeth,elisabeth_1152,2,1
Mary Visits Elizabeth,holy_spirit_7400,1,1
Mary Visits Elizabeth,jesus_905,3,1
Mary Visits Elizabeth,god_1324,2,1
Mary Visits Elizabeth,abraham_58,1,1
Birth of John the Baptist,elisabeth_1152,1,1
Birth of John the Baptist,jesus_905,1,1
Birth of John the Baptist,zacharias_2971,2,1
Birth of John the Baptist,john_1676,2,1
Birth of John the Baptist,god_1324,5,1
Birth of John the Baptist,holy_spirit_7400,1,1
Birth of John the Baptist,david_994,1,1
Birth of John the Baptist,abraham_58,1,1
Birth of Jesus,augustus_366,1,2
Birth of Jesus,cyrenius_967,1,2
Birth of Jesus,joseph_1715,2,2
Birth of Jesus,david_994,2,2
Birth of Jesus,mary_1938,3,2
Birth of Jesus,jesus_905,2,2
Birth of Jesus,god_1324,5,2
Jesus Circumsized,jesus_905,1,2
Temple Presentation of Jesus,moses_2108,1,2
Temple Presentation of Jesus,jesus_905,6,2
Temple Presentation of Jesus,god_1324,5,2
Temple Presentation of Jesus,simeon_2742,2,2
Temple Presentation of Jesus,holy_spirit_7400,3,2
Temple Presentation of Jesus,joseph_1715,1,2
Temple Presentation of Jesus,mary_1938,1,2
Temple Presentation of Jesus,anna_268,1,2
Temple Presentation of Jesus,phanuel_2327,1,2
Temple Presentation of Jesus,asher_337,1,2
Joseph and Mary return to Nazareth,god_1324,1,2
Childhood of Jesus,god_1324,1,2
Jesus as a child in the Temple,joseph_1715,1,2
Jesus as a child in the Temple,jesus_905,2,2
Jesus as a child in the Temple,god_1324,1,2
Jesus Growing Up,god_1324,5,2
Jesus Growing Up,jesus_905,5,2
John the Baptist Begins Ministry,tiberius_2852,1,3
John the Baptist Begins Ministry,pilate_2365,1,3
John the Baptist Begins Ministry,herod_1505,1,3
John the Baptist Begins Ministry,philip_2346,1,3
John the Baptist Begins Ministry,lysanias_1838,1,3
John the Baptist Begins Ministry,annas_269,1,3
John the Baptist Begins Ministry,caiaphas_532,1,3
John the Baptist Begins Ministry,john_1676,3,3
John the Baptist Begins Ministry,zacharias_2971,1,3
John the Baptist Begins Ministry,god_1324,3,3
John the Baptist Begins Ministry,isaiah_617,1,3
John the Baptist Begins Ministry,jesus_905,2,3
John the Baptist Begins Ministry,abraham_58,1,3
John the Baptist Begins Ministry,holy_spirit_7400,1,3
John the Baptist Imprisoned,herod_1505,1,3
John the Baptist Imprisoned,herodias_1507,1,3
John the Baptist Imprisoned,philip_2345,1,3
John the Baptist Imprisoned,john_1676,1,3
John Baptizes Jesus,jesus_905,2,3
John Baptizes Jesus,holy_spirit_7400,1,3
Temptations of Jesus,holy_spirit_7400,1,4
Temptations of Jesus,jesus_905,6,4
Temptations of Jesus,god_1324,5,4
Temptations of Jesus,satan_2476,1,4
"Jesus Leaves Judea toward Galilee, Jesus visits Galilee",holy_spirit_7400,1,4
"Jesus Leaves Judea toward Galilee, Jesus visits Galilee",jesus_905,1,4
Jesus Rejected at Nazareth,isaiah_617,1,4
Jesus Rejected at Nazareth,god_1324,1,4
Jesus Rejected at Nazareth,holy_spirit_7400,1,4
Jesus Rejected at Nazareth,jesus_905,1,4
Jesus Rejected at Nazareth,joseph_1710,1,4
Jesus Rejected at Nazareth,elijah_1131,2,4
Jesus Rejected at Nazareth,elisha_1153,1,4
Jesus Rejected at Nazareth,naaman_2122,1,4
Jesus visits Galilee,,,4
The Demoniac,god_1324,1,4
The Demoniac,jesus_905,2,4
Peter's Mother-in-law and Others Healed,wife_of_simon_2943,1,4
Peter's Mother-in-law and Others Healed,mother_of_the_wife_of_simon_2111,1,4
Peter's Mother-in-law and Others Healed,simon_2750,1,4
Peter's Mother-in-law and Others Healed,god_1324,1,4
Peter's Mother-in-law and Others Healed,jesus_905,1,4
Jesus' 1st Tour of Galilee,god_1324,1,4
Fishers of Men,god_1324,1,5
Fishers of Men,simon_2750,1,5
Fishers of Men,peter_2745,4,5
Fishers of Men,jesus_905,2,5
Fishers of Men,james_717,1,5
Fishers of Men,john_1677,1,5
Fishers of Men,zebedee_2998,1,5
Healing the Leper,jesus_905,1,5
Healing the Leper,moses_2108,1,5
Healing the Man with Palsy,jesus_905,4,5
Healing the Man with Palsy,god_1324,3,5
Jesus Calls Matthew,matthew_1971,2,5
Jesus Calls Matthew,jesus_905,1,5
Fasting Question,john_1676,1,5
Parable of the Winseskins,,,5
Corn on the Sabbath,david_994,1,6
Corn on the Sabbath,jesus_905,2,6
Corn on the Sabbath,god_1324,1,6
Healing a Withered Hand,jesus_905,2,6
Apostles Chosen,god_1324,1,6
Apostles Chosen,peter_2745,1,6
Apostles Chosen,andrew_264,1,6
Apostles Chosen,james_717,2,6
Apostles Chosen,john_1677,1,6
Apostles Chosen,philip_2344,1,6
Apostles Chosen,bartholomew_405,1,6
Apostles Chosen,matthew_1971,1,6
Apostles Chosen,thomas_2851,1,6
Apostles Chosen,james_718,1,6
Apostles Chosen,alphaeus_192,1,6
